Make,Vehicle_Count,Model_Count,State_Count,Avg_Range,Median_Range,Avg_MSRP,Median_MSRP,Avg_Vehicle_Age,Median_Vehicle_Age,CAFV_Eligible_Count,Market_Share_%,CAFV_Rate_%,Volume_Rank,Range_Rank,Portfolio_Diversity,Geographic_Presence_%,Volume_Score,Range_Score,Portfolio_Score,Geographic_Score,Overall_Analytical_Score,Overall_Rank,Market_Segment
LEXUS,138,2,1,22.52173913043478,37.0,0.0,0.0,1.1884057971014492,1.0,84,0.09170532023763639,60.86956521739131,28,9,18.181818181818183,2.4390243902439024,0.1971557385366985,15.81196581196581,10.0,0.0,6.0318537484061325,23,Lower Volume / High Range
LINCOLN,229,2,2,23.62882096069869,21.0,0.0,0.0,2.2358078602620086,2.0,229,0.15217766908999084,100.0,24,17,18.181818181818183,4.878048780487805,0.32907612241051887,8.974358974358974,10.0,2.941176470588235,4.816396663142187,27,Lower Volume / Lower Range
LUCID,190,1,1,0.0,0.0,0.0,0.0,1.5210526315789474,2.0,0,0.12626094815326752,0.0,26,22,9.090909090909092,2.4390243902439024,0.27253881503602445,0.0,0.0,0.0,0.10901552601440978,37,Lower Volume / Lower Range
MAZDA,136,1,1,26.0,26.0,0.0,0.0,0.0,0.0,136,0.09037625762549674,100.0,29,14,9.090909090909092,2.4390243902439024,0.1942563894405706,11.11111111111111,0.0,0.0,2.8554803335540058,33,Lower Volume / High Range
MERCEDES-BENZ,1054,10,2,10.081593927893739,0.0,0.0,0.0,2.8946869070208727,1.0,352,0.7004159965975998,33.396584440227706,15,22,90.9090909090909,4.878048780487805,1.5250576245632856,0.0,90.0,2.941176470588235,19.05119952041355,10,High Volume / Lower Range
MINI,791,2,1,20.826801517067004,0.0,7177.370417193426,0.0,2.43236409608091,2.0,336,0.5256442631012347,42.47787610619469,20,22,18.181818181818183,2.4390243902439024,1.1437932184224642,0.0,10.0,0.0,2.4575172873689857,35,Lower Volume / Lower Range
MITSUBISHI,849,2,2,29.784452296819786,22.0,0.0,0.0,4.00942285041225,4.0,849,0.5641870788532848,100.0,17,16,18.181818181818183,4.878048780487805,1.2278743422101739,9.401709401709402,10.0,2.941176470588235,5.282753557899656,26,High Volume / High Range
NISSAN,13497,2,13,84.7249018300363,84.0,0.0,0.0,7.223901607764688,8.0,11003,8.969179038024482,81.52181966362896,2,4,18.181818181818183,31.70731707317073,19.563358026123133,35.8974358974359,10.0,35.294117647058826,24.09381983186705,7,High Volume / High Range
POLESTAR,764,1,2,36.29188481675393,0.0,0.0,0.0,1.781413612565445,2.0,119,0.5077019178373493,15.575916230366493,21,22,9.090909090909092,4.878048780487805,1.1046520056247373,0.0,0.0,2.941176470588235,0.8830372728381302,36,Lower Volume / Lower Range
PORSCHE,1028,4,2,46.59727626459144,14.0,4294.066147859922,0.0,3.969844357976654,3.0,687,0.6831381826397842,66.82879377431907,16,21,36.36363636363637,4.878048780487805,1.4873660863136227,5.982905982905983,30.0,2.941176470588235,8.53184940084018,19,High Volume / Lower Range
RIVIAN,2483,3,2,0.0,0.0,0.0,0.0,1.5110753121224325,2.0,0,1.6500312329713853,0.0,14,22,27.27272727272727,4.878048780487805,3.5966425537466837,0.0,20.0,2.941176470588235,5.8798334920869095,25,High Volume / Lower Range
SMART,274,3,1,62.37591240875913,58.0,0.0,0.0,8.441605839416058,9.0,274,0.18208157786313311,100.0,23,5,27.27272727272727,2.4390243902439024,0.394311477073397,24.786324786324787,20.0,0.0,10.354305787410556,15,Lower Volume / High Range
SUBARU,623,2,2,1.7463884430176566,0.0,3594.991974317817,0.0,1.4109149277688604,1.0,64,0.4140030036815034,10.272873194221509,22,22,18.181818181818183,4.878048780487805,0.900247894347719,0.0,10.0,2.941176470588235,2.8012756283273226,34,Lower Volume / Lower Range
TESLA,68983,5,35,90.2969427250192,0.0,1648.601829436238,0.0,3.359392893901396,3.0,25898,45.84136308661501,37.54258295522085,1,22,45.45454545454545,85.36585365853658,100.0,0.0,40.0,100.0,63.0,1,High Volume / Lower Range
TH!NK,5,1,1,100.0,100.0,0.0,0.0,13.0,13.0,5,0.0033226565303491446,100.0,35,2,9.090909090909092,2.4390243902439024,0.004349023644191879,42.73504273504273,0.0,0.0,10.68550029321836,13,Lower Volume / High Range
TOYOTA,5223,6,12,26.91805475780203,25.0,0.0,0.0,5.448592762780011,5.0,5094,3.4708470116027166,97.53015508328546,7,15,54.54545454545454,29.268292682926827,7.568750815441934,10.683760683760683,50.0,32.35294117647059,20.55138167358753,9,High Volume / High Range
VOLKSWAGEN,4074,2,8,28.33406971035837,0.0,0.0,0.0,3.1094747177221405,3.0,1075,2.7073005409284834,26.386843397152678,8,22,18.181818181818183,19.51219512195122,5.903074759716444,0.0,10.0,20.588235294117645,7.449465198004225,22,High Volume / Lower Range
VOLVO,3536,7,7,15.633484162895927,18.0,4785.930429864254,0.0,2.725113122171946,2.0,2355,2.3497826982629153,66.60067873303167,9,19,63.63636363636363,17.073170731707318,5.123149852858033,7.6923076923076925,60.0,17.647058823529413,18.61939568774955,11,High Volume / Lower Range
WHEEGO ELECTRIC CARS,3,1,1,100.0,100.0,32995.0,32995.0,14.0,14.0,3,0.001993593918209487,100.0,36,2,9.090909090909092,2.4390243902439024,0.0014496745480639596,42.73504273504273,0.0,0.0,10.684340553579908,14,Lower Volume / High Range
