,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis,range,iqr,cv_percent
Range_ZScore,150482.0,5.892780094819347e-17,1.0,-0.7053708102936234,-0.7053708102936234,-0.5183189722702684,0.3026307612766784,2.7966552682547445,1.0,1.2194867245382481,-0.032045725966041605,3.5020260785483677,1.0080015715703017,1.6969918848306465e+18
Has_MSRP,150482.0,0.02295955662471259,0.14977504617165963,0.0,0.0,0.0,0.0,1.0,0.022432564455722774,6.3701770864951675,38.579668861086176,1.0,0.0,652.3429377135653
MSRP_Percentile,150482.0,50.00033226565304,7.489375385619645,48.85235443441741,48.85235443441741,48.85235443441741,48.85235443441741,100.0,56.090743666725416,6.371840346648719,38.6082371843767,51.14764556558259,0.0,14.978651233412615
MSRP_ZScore,150482.0,0.0,1.0,-0.1421948460605252,-0.1421948460605252,-0.1421948460605252,-0.1421948460605252,91.39410718969744,1.0,11.930855909140762,518.6918937652799,91.53630203575796,0.0,
Range_per_MSRP,3455.0,0.0021023200567953757,0.001316772510899592,1.4201183431952663e-05,0.0003252032520325,0.0029107981220657,0.0029756795422031,0.0044240400667779,1.7338898454608164e-06,-0.44890277563970954,-1.3795124497435338,0.004409838883345947,0.0026504762901706,62.634255266859064
MSRP_per_Range,80784.0,58.4981696214781,494.7744441021906,0.0,0.0,0.0,0.0,70416.66666666667,244801.75053663176,42.83032591809368,5164.616042551537,70416.66666666667,0.0,845.7947441838078
Make_Share_Pct,150482.0,23.53226283045716,20.63480522142888,0.0013290626121396,4.1187650350208,8.969179038024482,45.84136308661501,45.84136308661501,425.79518652630856,0.13549674515818588,-1.941677179461362,45.840034024002875,41.72259805159421,87.68729709546598
State_Share_Pct,150482.0,99.54735767289671,4.7430067629559565,0.0006645313060698,99.7733948246302,99.7733948246302,99.7733948246302,99.7733948246302,22.49611315344594,-20.935789234390167,436.31309449328586,99.77273029332413,0.0,4.764573238137603
EV_Type_Share_Pct,150482.0,65.25939632742498,23.024425355149294,22.37809173190149,77.62190826809851,77.62190826809851,77.62190826809851,77.62190826809851,530.1241629348417,-1.3255140053811714,-0.24301585154783023,55.243816536197016,0.0,35.281394942161576
CAFV_Share_Pct,150482.0,40.356472343204075,10.661207302802511,11.85058678114326,41.8329102484018,41.8329102484018,46.31650297045493,46.31650297045493,113.6613411533296,-2.1833038740113335,3.102544579425154,34.46591618931167,4.483592722053125,26.417589753971228
Make_Rank,150482.0,4.447541898698848,5.149401285126268,1.0,1.0,2.0,6.0,37.0,26.516333595260054,1.9448798224795272,3.929697661994741,36.0,5.0,115.78083809919255
State_Rank,150482.0,1.012998232346726,0.353989660701231,1.0,1.0,1.0,1.0,17.0,0.12530867988337266,33.119732838398384,1197.1331049114526,16.0,0.0,34.94474614049163
Model_Rank,150482.0,12.35372336890791,17.607682036413518,1.0,2.0,4.0,15.0,115.0,310.0304666954393,2.3620048539655367,5.99639508178212,114.0,13.0,142.52935338287463
Long_Range_Flag,150482.0,0.21261679137704179,0.409160120132387,0.0,0.0,0.0,0.0,1.0,0.16741200390674937,1.4047655870445799,-0.02663399961446844,1.0,0.0,192.44017251996203
Premium_MSRP_Flag,150482.0,0.0009303438284977606,0.03048744767234206,0.0,0.0,0.0,0.0,1.0,0.0009294844655737953,32.739788162760895,1069.9079486888127,1.0,0.0,3277.0086433066986
Recent_Model_Flag,150482.0,0.25066785396260016,0.43339904149982117,0.0,0.0,0.0,1.0,1.0,0.18783472917296373,1.1506045744767923,-0.6761180994025953,1.0,1.0,172.89773485055034
Older_Model_Flag,150482.0,0.14122619316596005,0.3482558850726614,0.0,0.0,0.0,0.0,1.0,0.12128216148774275,2.060430795884966,2.2454049072916327,1.0,0.0,246.5944009858095
